german,portuguese,article,plural,word_type,topic,level,example_de,example_pt,pronunciation_hint,difficulty
Hallo,olá,,,phrase,cumprimentos,A1,Hallo Carlos.,Olá Carlos.,há-lo,1
Guten Morgen,bom dia,,,phrase,cumprimentos,A1,Guten Morgen Anna.,Bom dia Anna.,gú-ten mór-guen,1
Guten Abend,boa noite,,,phrase,cumprimentos,A1,Guten Abend Herr Silva.,Boa noite Senhor Silva.,gú-ten á-bent,1
Tschüss,adeus,,,phrase,cumprimentos,A1,Tschüss bis morgen.,Adeus até amanhã.,tchüss,1
bitte,por favor,,,adverb,cumprimentos,A1,Ein Wasser bitte.,Uma água por favor.,bí-te,1
danke,obrigado,,,adverb,cumprimentos,A1,Danke sehr.,Muito obrigado.,dán-ke,1
Name,nome,der,Namen,noun,pessoal,A1,Mein Name ist Carlos.,O meu nome é Carlos.,ná-me,1
Alter,idade,das,,noun,pessoal,A1,Mein Alter ist dreißig.,A minha idade é trinta.,ál-ter,1
kommen,vir,,,verb,pessoal,A1,Ich komme aus Portugal.,Eu venho de Portugal.,kó-men,1
wohnen,morar,,,verb,cidade,A1,Ich wohne in Braga.,Eu moro em Braga.,vó-nen,1
sein,ser/estar,,,verb,verbos,A1,Ich bin Carlos.,Eu sou o Carlos.,zain,1
haben,ter,,,verb,verbos,A1,Ich habe Zeit.,Eu tenho tempo.,há-ben,1
ich,eu,,,pronoun,pronomes,A1,Ich lerne Deutsch.,Eu aprendo alemão.,ich,1
du,tu,,,pronoun,pronomes,A1,Du bist nett.,Tu és simpático.,du,1
er,ele,,,pronoun,pronomes,A1,Er kommt aus Berlin.,Ele vem de Berlim.,êa,1
sie,ela/eles,,,pronoun,pronomes,A1,Sie wohnt hier.,Ela mora aqui.,zi,1
wir,nós,,,pronoun,pronomes,A1,Wir lernen Deutsch.,Nós aprendemos alemão.,via,1
ihr,vós,,,pronoun,pronomes,A1,Ihr seid müde.,Vós estais cansados.,ia,1
Sie,o senhor/a senhora,,,pronoun,pronomes,A1,Wie heißen Sie?,Como se chama?,zi,1
Deutschland,Alemanha,das,,noun,países,A1,Deutschland ist groß.,A Alemanha é grande.,dóitch-lant,1
Portugal,Portugal,das,,noun,países,A1,Portugal ist schön.,Portugal é bonito.,por-tu-gal,1
Spanien,Espanha,das,,noun,países,A1,Spanien ist nah.,A Espanha é perto.,shpá-ni-en,1
Frankreich,França,das,,noun,países,A1,Frankreich ist interessant.,A França é interessante.,frank-raich,1
Familie,família,die,Familien,noun,família,A1,Meine Familie ist klein.,A minha família é pequena.,fa-mí-li-e,1
Mutter,mãe,die,Mütter,noun,família,A1,Meine Mutter ist nett.,A minha mãe é simpática.,mú-ter,1
Vater,pai,der,Väter,noun,família,A1,Mein Vater arbeitet.,O meu pai trabalha.,fá-ter,1
Bruder,irmão,der,Brüder,noun,família,A1,Mein Bruder heißt João.,O meu irmão chama-se João.,brú-der,1
Schwester,irmã,die,Schwestern,noun,família,A1,Meine Schwester lernt.,A minha irmã aprende.,shvés-ter,1
Kind,criança/filho,das,Kinder,noun,família,A1,Das Kind spielt.,A criança brinca.,kint,1
Freund,amigo,der,Freunde,noun,pessoas,A1,Mein Freund ist hier.,O meu amigo está aqui.,froint,1
Freundin,amiga,die,Freundinnen,noun,pessoas,A1,Meine Freundin ist da.,A minha amiga está ali.,froin-din,1
Lehrer,professor,der,Lehrer,noun,profissões,A1,Der Lehrer spricht Deutsch.,O professor fala alemão.,lê-rer,1
